88001,Glass,http://www.countrystylerecycling.co.uk/wp-content/uploads/2014/11/Istock-glass-bottles.jpg,Glass is 100% recyclable and can be recycled endlessly
88002,Paper & Cardboard,http://www.thewordonline.org/wp-content/uploads/2010/07/newspapers.jpg,Each ton of recycled paper can save 17 trees and 380 gallons of oil
88003,Electronics & eWaste,https://correcycling.com/wp-content/uploads/sites/3/2016/08/Large-and-small-TVs-are-recycled-at-CORRecycling-Inc..jpg,eWaste comprises 70% of our overall toxic waste and signifcantly impacts our waterways
88004,Hazardous Waste,http://www.fairfaxva.gov/Home/ShowImage?id=4558&t=635732554814030000,"Average homes can accumulate household wastes in storage areas, garages and sheds"
88005,Aluminium & Metals,http://www.alupro.org.uk/wp-content/uploads/2013/12/ALU-CANS-cropped.jpg,"Aluminium is considered a sustainable metal, which means it can be recycled again and again"
88006,Plastic,http://environment.columbia.edu/files/environmental/content/plastic_metal_glass%20recycling.jpg,"When one ton of plastic bottles is recycled, almost four barrels of oil are saved"
88007,Miscellaneous,http://i1.wp.com/thedailybrunch.com/wp-content/uploads/2016/05/Use-up-discarded-items-to-create-an-impressive-home.jpg?fit=1322%2C881,Recycling reduces the need for more landfills and no one wants to live next to a landfill
88008,Green Waste,http://www.citrusheights.net/ImageRepository/Document?documentID=572,Up to 30% of materials put into the rubbish bin can be composted
88009,Clothes & Textiles,https://sfenvironment.org/sites/default/files/editor-uploads/zero_waste/image/sfe_th_textiles_graphic_clothes_pile.jpg,Nearly 100 percent of textiles and clothing are recyclable
88010,Appliances,http://www.gorecyclenow.com/Images/services_appliances.jpg,"If disposed of improperly, appliances can become environmentally harmful and poison ecosystems"
88011,Furniture,http://furniture.inlandempire-junkremoval.com/images/junk-furniture-removal.jpg,Furniture that cannot be re-used by someone else can often be recycled
88012,Food,http://challengeforsustainability.org/wp-content/uploads/2014/07/food-donation.jpg,Cut your environmental footprint by donating rather than throwing out quality surplus food
